,fit_time,score_time,test_score,train_score
Logistic_Regression,0.0793907642364502,0.0020545482635498046,0.7818141420523351,0.7828408875912364
Random_Forest,0.5098365783691406,0.021544790267944335,0.8390836624019375,0.9999486784706185
DummyClassifier,0.0022248744964599608,0.0010855674743652343,0.6264404780708682,0.6271032841170664
SVC,0.2948343276977539,0.03839373588562012,0.7945407255304586,0.8086003191730414
K_Nearest_Neighbors,0.0061072826385498045,0.058602523803710935,0.7943358079292371,0.8539104095676603
